City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ostrovnoy,68.0531,39.5131,25.23,92,100,9.55,RU,1614747403
83,sterling,39.0062,-77.4286,33.01,69,1,6.38,US,1614747150
84,iqaluit,63.7506,-68.5145,-13.0,70,90,21.85,CA,1614747404
85,thompson,55.7435,-97.8558,-2.2,84,1,5.01,CA,1614747161
86,saldanha,-33.0117,17.9442,64.4,88,0,1.14,ZA,1614747404
87,tuktoyaktuk,69.4541,-133.0374,-18.4,76,75,10.36,CA,1614747404
88,mpika,-11.8343,31.4529,63.18,98,100,7.4,ZM,1614747404
89,tanout,14.9709,8.8879,67.93,22,0,13.11,NE,1614747404
90,okha,53.5739,142.9478,-3.08,80,0,16.33,RU,1614747167
91,inhambane,-23.865,35.3833,75.2,94,40,5.75,MZ,1614747212
92,anchorage,61.2181,-149.9003,12.2,92,1,2.51,US,1614747238
93,iquique,-20.2208,-70.1431,71.6,68,0,6.91,CL,1614747325
94,tommot,58.9564,126.2925,-5.66,85,75,2.57,RU,1614747405
95,tongliao,43.6125,122.2653,45.09,57,63,18.86,CN,1614747405
96,longyearbyen,78.2186,15.6401,5.0,72,0,6.91,SJ,1614747405
97,debre birhan,9.6833,39.5333,52.21,67,1,4.34,ET,1614747406
98,olean,42.0776,-78.4297,27.0,46,1,8.05,US,1614747406
99,san cristobal,7.7669,-72.225,63.79,87,32,1.61,VE,1614747182
100,thinadhoo,0.5333,72.9333,82.8,68,56,10.22,MV,1614747406
101,maniitsoq,65.4167,-52.9,26.83,48,100,9.13,GL,1614747406
102,carutapera,-1.195,-46.02,75.29,91,99,4.97,BR,1614747406
103,beringovskiy,63.05,179.3167,-16.24,80,0,3.51,RU,1614747407
104,cherskiy,68.75,161.3,-25.17,84,87,5.06,RU,1614747407
105,chilliwack,49.1747,-121.9443,41.0,81,99,1.14,CA,1614747134
106,jamestown,42.097,-79.2353,30.99,86,1,12.53,US,1614747322
107,naze,28.3667,129.4833,62.6,59,75,19.57,JP,1614747174
108,port alfred,-33.5906,26.891,66.99,96,25,1.99,ZA,1614747407
109,hambantota,6.1241,81.1185,84.2,70,20,10.36,LK,1614747249
110,darhan,49.4867,105.9228,29.43,90,100,6.4,MN,1614747408
111,lavrentiya,65.5833,-171.0,-17.99,82,10,13.49,RU,1614747172
112,peniche,39.3558,-9.3811,53.01,90,41,5.84,PT,1614747193
113,pokaran,26.9167,71.9167,83.68,12,0,5.46,IN,1614747200
114,bluff,-46.6,168.3333,64.99,71,62,13.0,NZ,1614747157
115,vao,-22.6667,167.4833,78.64,75,91,11.77,NC,1614747218
116,roald,62.5833,6.1333,42.8,87,90,17.27,NO,1614747408
117,mount gambier,-37.8333,140.7667,64.4,52,90,14.97,AU,1614747405
118,dunedin,-45.8742,170.5036,72.0,38,28,15.01,NZ,1614747165
119,klaksvik,62.2266,-6.589,42.8,100,75,6.91,FO,1614747409
120,chokurdakh,70.6333,147.9167,-27.29,85,96,8.01,RU,1614747345
121,esperance,-33.8667,121.9,77.0,50,90,13.8,AU,1614747341
122,vestmannaeyjar,63.4427,-20.2734,43.83,88,100,25.23,IS,1614747181
123,new norfolk,-42.7826,147.0587,61.0,65,99,1.01,AU,1614747319
124,graaff-reinet,-32.2522,24.5308,75.63,40,58,3.29,ZA,1614747409
125,upernavik,72.7868,-56.1549,20.7,83,100,6.6,GL,1614747409
126,lewistown,40.5992,-77.5714,28.4,54,1,5.5,US,1614747409
127,pangnirtung,66.1451,-65.7125,1.31,89,100,5.01,CA,1614747205
128,byron bay,-28.65,153.6167,75.2,64,90,9.22,AU,1614747351
129,giyani,-23.3025,30.7187,66.38,92,15,3.36,ZA,1614747410
130,sayyan,15.1718,44.3244,59.77,38,4,3.18,YE,1614747410
131,la ciotat,43.1748,5.6045,46.99,81,0,4.61,FR,1614747410
132,bouza,14.4229,6.0428,71.89,19,0,13.65,NE,1614747410
133,hays,30.0502,-98.0336,48.99,55,0,4.9,US,1614747410
134,tessalit,20.1986,1.0114,66.24,16,70,8.66,ML,1614747410
135,agua dulce,18.1333,-94.1333,73.45,85,78,19.51,MX,1614747410
136,nikolskoye,59.7035,30.7861,30.0,86,0,11.18,RU,1614747410
137,kalmunai,7.4167,81.8167,82.63,60,16,9.73,LK,1614747169
138,torbay,47.6666,-52.7314,23.0,80,20,13.8,CA,1614747357
139,acatlan,20.15,-98.45,50.02,89,50,2.21,MX,1614747411
140,moreira sales,-24.0622,-53.0069,68.94,92,96,7.61,BR,1614747411
141,ribeira grande,38.5167,-28.7,57.72,64,5,24.74,PT,1614747164
142,soyo,-6.1349,12.3689,79.97,85,100,4.99,AO,1614747411
143,nuuk,64.1835,-51.7216,26.01,53,100,10.0,GL,1614747411
144,meadow lake,34.8014,-106.5436,41.0,20,20,6.91,US,1614747203
145,floirac,44.8324,-0.5141,46.4,87,0,3.44,FR,1614747411
146,castro,-24.7911,-50.0119,62.78,96,99,4.88,BR,1614747159
147,carnarvon,-24.8667,113.6333,78.8,73,53,12.66,AU,1614747412
148,san patricio,28.017,-97.5169,50.0,87,1,5.75,US,1614747205
149,san quintin,30.4833,-115.95,56.84,48,0,0.85,MX,1614747328
150,airai,-8.9266,125.4092,73.04,79,100,3.69,TL,1614747412
151,bambous virieux,-20.3428,57.7575,82.99,74,40,9.22,MU,1614747172
152,san juan,-31.5375,-68.5364,70.83,63,98,12.33,AR,1614747165
153,bar harbor,44.3876,-68.2039,16.0,45,1,16.11,US,1614747413
154,bambanglipuro,-7.95,110.2833,87.49,62,18,7.38,ID,1614747205
155,aden,12.7794,45.0367,77.47,76,0,12.5,YE,1614747185
156,kavaratti,10.5669,72.642,82.85,68,48,7.23,IN,1614747413
157,chingirlau,51.095,54.0814,30.25,95,100,15.61,KZ,1614747413
158,sungai pelek,2.6449,101.717,91.4,46,40,3.44,MY,1614747413
159,mogadishu,2.0371,45.3438,78.8,69,75,9.22,SO,1614747296
160,tiksi,71.6872,128.8694,-28.12,85,100,3.91,RU,1614747336
161,mazyr,52.0495,29.2456,28.58,97,0,7.27,BY,1614747413
162,leningradskiy,69.3833,178.4167,-23.17,84,20,2.44,RU,1614747371
163,khatanga,71.9667,102.5,-32.21,81,0,4.18,RU,1614747226
164,porto velho,-8.7619,-63.9039,73.4,94,75,4.61,BR,1614747210
165,kita,13.0349,-9.4895,72.48,21,0,4.68,ML,1614747414
166,palatka,29.6486,-81.6376,61.0,82,100,2.15,US,1614747273
167,srivardhan,18.0333,73.0167,90.52,21,0,5.1,IN,1614747414
168,yuancheng,36.652,107.7896,48.54,36,0,10.8,CN,1614747414
169,atuona,-9.8,-139.0333,80.13,75,7,11.21,PF,1614747414
170,kargasok,59.0556,80.8572,-0.13,94,98,9.82,RU,1614747258
171,namibe,-15.1961,12.1522,72.03,78,1,1.07,AO,1614747218
172,port macquarie,-31.4333,152.9167,69.01,88,75,9.22,AU,1614747311
173,tambopata,-12.7333,-69.1833,71.33,99,85,1.88,PE,1614747414
174,kalemie,-5.9475,29.1947,70.16,91,100,6.42,CD,1614747415
175,rio grande,-32.035,-52.0986,73.99,94,91,10.09,BR,1614747135
176,faanui,-16.4833,-151.75,82.85,75,100,6.73,PF,1614747415
177,broome,42.2506,-75.833,21.2,53,1,6.91,US,1614747415
178,korampallam,8.7667,78.1,86.0,66,20,6.91,IN,1614747415
179,atar,20.5169,-13.0499,62.47,30,26,9.64,MR,1614747415
180,labuan,5.2767,115.2417,86.0,66,20,4.61,MY,1614747415
181,mahebourg,-20.4081,57.7,82.4,74,40,9.22,MU,1614747328
182,najran,17.4924,44.1277,66.2,37,0,6.91,SA,1614747416
183,port hardy,50.6996,-127.4199,42.8,93,75,3.44,CA,1614747416
184,kysyl-syr,63.8986,122.7617,-23.22,84,94,4.27,RU,1614747416
185,victoria,22.2855,114.1577,68.0,78,23,3.0,HK,1614747350
186,lazo,43.3817,133.9014,29.73,87,69,7.29,RU,1614747416
187,lamu,-2.2717,40.902,79.41,76,81,9.86,KE,1614747417
188,santa cruz,-17.8,-63.1667,78.8,89,40,3.44,BO,1614747389
189,tezu,27.9167,96.1667,85.91,16,1,5.17,IN,1614747417
190,roma,43.2128,-75.4557,19.99,63,90,4.61,US,1614747417
191,tsentoroy,43.0064,46.2231,33.8,93,75,4.47,RU,1614747417
192,pochutla,15.7432,-96.4661,75.99,78,5,2.82,MX,1614747418
193,great yarmouth,52.6083,1.7305,37.4,93,90,4.61,GB,1614747418
194,souillac,-20.5167,57.5167,82.4,74,40,9.22,MU,1614747418
195,ketchikan,55.3422,-131.6461,35.6,100,90,12.66,US,1614747130
196,blind river,46.1834,-82.9582,35.6,69,40,9.22,CA,1614747418
197,isiro,2.7739,27.616,70.59,42,76,0.78,CD,1614747419
198,xinye,32.5186,112.3522,57.0,37,80,8.23,CN,1614747419
199,ahipara,-35.1667,173.1667,68.92,87,100,9.8,NZ,1614747419
200,krutinka,56.0055,71.5113,3.87,93,78,15.59,RU,1614747419
201,poroina mare,44.4953,22.9364,34.86,88,0,4.21,RO,1614747419
202,sitka,57.0531,-135.33,33.8,93,90,9.22,US,1614747420
203,burnie,-41.0667,145.9167,62.01,51,96,14.0,AU,1614747420
204,half moon bay,37.4636,-122.4286,55.4,67,40,4.07,US,1614747420
205,puerto carreno,6.189,-67.4859,78.39,48,66,8.39,CO,1614747420
206,laguna,38.421,-121.4238,55.4,41,1,2.13,US,1614747255
207,goderich,43.7501,-81.7165,32.0,69,51,18.41,CA,1614747420
208,youghal,51.95,-7.8506,39.2,100,75,8.05,IE,1614747421
209,brindisi,40.5833,17.6667,50.0,87,0,13.8,IT,1614747421
210,honiara,-9.4333,159.95,81.45,78,98,4.65,SB,1614747308
211,goianesia,-15.3175,-49.1175,67.64,95,100,3.13,BR,1614747130
212,danilovka,50.3557,44.1168,30.78,97,100,12.77,RU,1614747421
213,maldonado,-34.6667,-54.9167,73.0,94,75,10.36,UY,1614747422
214,pimentel,-6.8367,-79.9342,73.99,83,99,1.99,PE,1614747422
215,gamboula,4.1178,15.1393,66.04,68,100,3.11,CF,1614747422
216,karratha,-20.7377,116.8463,87.55,60,34,11.48,AU,1614747422
217,sao joao del rei,-21.1356,-44.2617,62.42,93,100,3.89,BR,1614747423
218,state college,40.7934,-77.86,28.99,46,1,5.75,US,1614747180
219,tura,25.5198,90.2201,85.55,13,0,4.52,IN,1614747423
220,srednekolymsk,67.45,153.6833,-22.7,85,100,4.45,RU,1614747423
221,asau,46.4333,26.4,34.0,58,2,4.7,RO,1614747262
222,pleszew,51.8964,17.7855,35.26,87,0,3.89,PL,1614747423
223,nantucket,41.2835,-70.0995,26.01,55,0,27.29,US,1614747423
224,constitucion,-35.3333,-72.4167,59.65,93,78,1.32,CL,1614747424
225,port blair,11.6667,92.75,86.0,66,20,10.36,IN,1614747424
226,balaipungut,1.05,101.2833,87.8,55,40,3.58,ID,1614747424
227,north platte,41.1239,-100.7654,42.01,64,1,4.43,US,1614747424
228,diffa,13.3154,12.6113,70.74,23,45,12.33,NE,1614747424
229,turbat,26.0023,63.044,80.91,22,0,1.72,PK,1614747425
230,swellendam,-34.0226,20.4417,60.8,94,9,2.3,ZA,1614747251
231,linhares,-19.3911,-40.0722,72.3,94,62,0.25,BR,1614747425
232,antofagasta,-23.65,-70.4,66.2,88,20,4.61,CL,1614747325
233,bandarbeyla,9.4942,50.8122,79.16,68,39,15.99,SO,1614747237
234,bam,29.106,58.357,68.32,29,0,2.82,IR,1614747425
235,kutum,14.2,24.6667,53.62,20,25,10.22,SD,1614747425
236,salvador,13.8333,-88.9167,75.2,73,0,2.3,SV,1614747426
237,caravelas,-17.7125,-39.2481,74.26,92,18,3.4,BR,1614747173
238,severo-kurilsk,50.6789,156.125,24.62,96,100,33.58,RU,1614747239
239,jawhar,2.7809,45.5005,80.76,67,16,17.11,SO,1614747426
240,miechow,50.3565,20.0279,30.99,93,0,1.14,PL,1614747346
241,kaeo,-35.1,173.7833,66.99,94,100,7.0,NZ,1614747208
242,mbanza-ngungu,-5.25,14.8667,66.27,98,100,1.3,CD,1614747426
243,nivala,63.9167,24.9667,30.0,85,25,1.99,FI,1614747427
244,nicoya,10.1483,-85.452,78.8,61,0,20.71,CR,1614747427
245,vardo,70.3705,31.1107,23.0,80,40,6.91,NO,1614747184
